distance,hour,rain,snow,price,is_peak,is_night,hour_sin,hour_cos,traffic_encoded,distance_squared,distance_log,distance_bucket,distance_traffic,distance_peak,traffic_peak,rain_peak,demand_score
17.26340795997734,0,1,1,358.12,0,1,0.0,1.0,0,298.025254392609,2.904899493019733,2,0.0,0.0,0,0,2.8
31.59682143203523,0,0,1,717.9,0,1,0.0,1.0,0,998.3591246079209,3.4842147815342157,3,0.0,0.0,0,0,1.3
41.4548249528721,11,1,0,754.89,0,0,0.258819045102521,-0.9659258262890682,0,1718.5025118732674,3.748440568321218,4,0.0,0.0,0,0,1.5
46.901923526627094,10,0,0,1554.83,1,0,0.49999999999999994,-0.8660254037844387,1,2199.790430497576,3.8691556607426834,4,46.901923526627094,46.901923526627094,1,0,3.2
40.35308414277289,20,0,1,2381.21,1,0,-0.8660254037844386,0.5000000000000001,2,1628.3713998337091,3.722147004970577,4,80.70616828554579,40.35308414277289,2,0,5.699999999999999
21.907025050174433,0,0,0,378.68,0,1,0.0,1.0,2,479.9177465489701,3.1314436342656435,2,43.814050100348865,0.0,0,0,2.4
32.110797530291144,19,0,1,1486.76,1,0,-0.9659258262890684,0.2588190451025203,0,1031.1033180313518,3.499859438562662,3,0.0,32.110797530291144,0,0,3.3
42.95866700908973,11,0,1,1070.44,0,0,0.258819045102521,-0.9659258262890682,1,1845.4470711978543,3.7832498062615194,4,42.95866700908973,0.0,0,0,2.5
25.039874727275233,16,0,0,401.1,0,0,-0.8660254037844385,-0.5000000000000004,1,626.9953263576369,3.2596290065482756,3,25.039874727275233,0.0,0,0,1.2
11.617645541564242,14,1,0,259.09,0,0,-0.4999999999999997,-0.8660254037844388,0,134.9696879294275,2.5350962740628606,1,0.0,0.0,0,0,1.5
9.316448547645775,1,0,1,278.94,0,1,0.25881904510252074,0.9659258262890683,1,86.79621354093108,2.3337395678460138,1,9.316448547645775,0.0,0,0,2.5
1.0077294843247797,17,1,0,161.92,1,0,-0.9659258262890683,-0.25881904510252063,0,1.0155187135774864,0.6970044737923052,0,0.0,1.0077294843247797,0,1,3.5
36.19366175408293,15,1,0,879.84,0,0,-0.7071067811865471,-0.7071067811865479,2,1309.9811511689657,3.6161383638075164,4,72.38732350816586,0.0,0,0,3.9
6.443763233453534,3,0,1,228.52,0,1,0.7071067811865476,0.7071067811865476,1,41.522084608807546,2.0073765319138186,1,6.443763233453534,0.0,0,0,2.5
12.94811588510108,7,1,1,690.68,1,0,0.9659258262890683,-0.25881904510252063,1,167.65370497400693,2.6353444371457586,2,12.94811588510108,12.94811588510108,1,1,6.0
15.595940244616875,1,1,0,321.09,0,1,0.25881904510252074,0.9659258262890683,0,243.23335211366026,2.8091581018746523,2,0.0,0.0,0,0,1.5
28.458613146701648,13,0,0,383.24,0,0,-0.2588190451025208,-0.9659258262890683,0,809.8926622336198,3.3829863341185646,3,0.0,0.0,0,0,0.0
20.499906587492692,14,0,1,486.55,0,0,-0.4999999999999997,-0.8660254037844388,0,420.2461700959263,3.0680485903563968,2,0.0,0.0,0,0,1.3
34.05902560913493,8,1,1,1577.69,1,0,0.8660254037844387,-0.4999999999999998,1,1160.0172254437089,3.557033087011471,3,34.05902560913493,34.05902560913493,1,1,6.0
3.726294307106433,1,1,1,152.83,0,1,0.25881904510252074,0.9659258262890683,2,13.88526926317381,1.5531414508643706,0,7.452588614212866,0.0,0,0,5.199999999999999
7.073020518957533,16,1,1,179.85,0,0,-0.8660254037844385,-0.5000000000000004,0,50.02761926159428,2.0885277020865383,1,0.0,0.0,0,0,2.8
25.46136367313007,9,0,0,892.96,1,0,0.7071067811865476,-0.7071067811865475,1,648.2810400953875,3.2756856945141477,3,25.46136367313007,25.46136367313007,1,0,3.2
17.511274604494663,8,0,0,565.34,1,0,0.8660254037844387,-0.4999999999999998,0,306.6447382740197,2.9183799845331015,2,0.0,17.511274604494663,0,0,2.0
15.494854774816627,1,0,0,223.83,0,1,0.25881904510252074,0.9659258262890683,0,240.09052449265764,2.803048500447585,2,0.0,0.0,0,0,0.0
4.284375872838614,23,0,0,95.59,0,1,-0.25881904510252157,0.9659258262890681,1,18.355876619761634,1.6647545182782755,0,4.284375872838614,0.0,0,0,1.2
44.89023956265207,18,0,0,1495.99,1,0,-1.0,-1.8369701987210297e-16,1,2015.133607992293,3.8262524487603438,4,44.89023956265207,44.89023956265207,1,0,3.2
