distance,hour,rain,snow,traffic,price
8.116262258099887,14,0,1,medium,260.1459268200256
19.063571821788408,11,1,0,low,405.37666981288595
14.907884894416696,15,0,1,low,372.96238989474335
12.374511199743695,23,1,1,medium,315.16892033108394
3.964354168406294,18,1,0,low,263.2265079884213
3.96389588638785,7,0,0,high,258.6503960726493
2.1035886311957896,20,1,1,low,203.4281819633751
17.457346769723767,16,0,1,low,429.13361082456504
12.421185223120967,22,1,0,low,264.4115029947947
14.453378978124864,4,0,1,low,371.96877252267655
1.3911053916202465,21,1,0,low,176.37271417047126
19.428287191077892,15,1,1,medium,457.1847542235584
16.816410175208013,5,1,0,low,346.42002973555634
5.034443102887247,7,1,1,medium,345.9293222424903
4.4546743769349115,17,0,0,low,210.8580051964689
4.484685687215243,11,0,0,low,95.31459264516866
6.780602616231217,14,0,0,low,110.28380524985869
10.97037220101252,8,0,0,high,508.4063474968604
9.206955354200199,12,0,0,low,158.45566132157504
6.533353663762797,14,0,0,medium,130.32296356935757
12.62520499972521,9,1,1,low,577.8168447877329
3.6503833523887947,15,0,0,medium,93.95159924797096
6.550748322169145,6,1,0,low,170.9880917829732
7.960875022580142,16,0,0,medium,153.74670723228328
9.665329700123683,22,1,0,medium,257.8220891386915
15.918343266467259,20,1,0,high,920.7698557494884
4.793801861008835,21,0,0,low,208.48649873743352
10.770454329858621,6,0,0,low,159.21908693987734
12.255876808378806,13,1,0,low,247.6033293214006
1.8825578416799567,14,0,0,high,88.9082641578351
12.54335218612733,20,0,0,medium,493.0929015441931
4.239958350058539,6,0,0,medium,112.89423428252908
2.235980266720311,8,0,0,low,141.26956323495727
19.02882520781333,18,0,1,low,942.089376469363
19.347008628416628,15,0,0,low,273.88271558993233
16.35954961421276,7,0,1,high,1073.809238717194
6.787661614294043,17,0,0,medium,301.82947073609563
2.8557701661212933,22,1,1,high,152.99899170082998
14.00042750373098,17,0,1,low,741.2922731873093
9.362897381052425,19,1,0,medium,533.0809724332788
3.3187264620507975,6,0,1,medium,159.22115970930557
10.408361292114133,2,0,0,low,161.02201009451443
1.6533819011891495,17,0,0,high,167.07047590754118
18.27708763949686,9,0,1,high,1197.9183028279465
5.916819650400321,6,0,1,high,230.6280822119077
13.587923402725657,16,0,0,medium,231.22931338184512
6.9225104456988085,13,0,0,low,123.74471596632357
10.881292402378406,23,0,0,low,183.78540145803916
11.387495307522313,2,0,0,high,236.81763603123625
4.512234654985013,11,0,1,low,145.7301206065575
19.422107927526614,12,0,0,medium,314.0030874715938
15.727523643861176,1,1,0,medium,378.9458314377241
18.850479889719594,2,0,0,medium,304.30991579573487
18.001719658125328,4,0,0,high,337.78529952699756
12.360099597410617,10,1,0,low,564.9900017948701
18.51561046543922,7,0,1,low,917.0084255040066
2.6813575389864703,22,0,1,low,125.80848087635023
4.723674385963759,22,1,1,low,144.6616988707389
1.8593184893002233,11,0,0,low,63.50717765967625
7.181276284502022,6,0,1,low,210.92914544729865
8.384868504100158,14,0,1,high,307.9791430530849
6.155631603704022,23,0,1,high,256.0903285790708
16.746012673886657,16,0,0,low,241.22335835964358
7.778313207178196,3,0,0,low,125.00497812261412
6.337755684060235,21,0,0,high,329.58724383895503
11.31122558000672,12,0,0,low,163.81760758859178
3.6775602745204905,17,1,0,low,269.08465982830717
16.241742634326755,0,1,0,low,344.7170074060659
2.4164622299156457,15,0,0,medium,78.49527570739153
19.75085179540983,12,0,1,low,464.51693452959864
15.67265061663649,9,0,0,high,662.5185965802019
4.775597949149276,11,0,0,low,106.05307225044899
1.1049202253484456,1,0,1,medium,118.74441756097438
16.49376714064185,22,0,1,low,397.2504542207964
14.430289533104725,2,1,1,low,316.0627272972953
14.851136192778759,9,0,1,medium,881.0434382286885
15.65413658703297,1,0,0,medium,260.32765346177126
2.4068483829477167,22,0,1,medium,145.90623224974604
7.81084884234118,12,0,0,medium,153.70838825836606
3.2015121309774646,12,1,0,high,149.16968402431488
17.398965091636278,17,1,0,high,991.6631890776408
12.8426644097236,2,1,0,medium,308.44463221675176
7.2870624722003345,6,0,0,low,129.75203885613251
2.207608655434449,13,0,1,low,107.86876733668876
6.908664112597582,19,0,1,low,420.0237073014452
7.178483118508193,16,0,0,medium,140.92597039182297
14.862517388423218,20,0,0,low,487.08485853033136
13.11359195574905,11,1,1,low,292.4419293083862
17.857042108950203,15,0,1,high,550.152741231547
9.972083578077036,23,0,0,high,201.24572430560775
3.272290672827732,11,0,1,high,176.03377738281446
14.551650957236905,14,0,0,low,204.0134613160089
15.454915923721051,9,0,0,medium,578.1030853656799
11.664266753820428,6,1,1,low,245.8427156233512
15.648376419136659,19,1,0,low,704.3684737907412
10.382116330923424,4,1,0,low,234.59206523483525
10.931923758257888,0,0,1,low,289.17207105745206
9.123279348812442,16,0,1,low,259.948187752245
1.4829634081378087,2,0,0,high,69.35607809771871
3.049937112872785,12,0,0,low,74.1033492852894
1.5971545280479509,13,1,0,medium,89.52803078692293
13.091797814011828,23,0,1,medium,374.59887885041735
6.972763640450207,17,0,0,low,270.89995514010855
10.662843132129353,3,0,0,low,164.0141944588829
18.243763004595767,17,0,1,low,905.7489334801892
5.736552353828624,4,1,0,medium,182.54582558246943
8.797275537676965,15,0,0,low,138.43757086778837
15.355471632317926,0,0,0,low,226.8227209951549
5.347165144340827,20,0,1,low,369.50260621182144
2.462618286747067,13,0,0,medium,76.24155489445138
6.505277605361592,14,1,0,high,214.57675954749578
4.0632044578260835,8,1,1,low,272.2814999472137
18.66425539450889,14,1,0,medium,435.5127434955971
16.35428721172392,16,1,0,medium,392.9952101055661
13.034671373698046,23,0,0,high,267.8998049197693
17.557751213566636,3,0,0,high,326.45001531906127
16.269769461083175,11,0,0,medium,265.40897407270677
4.544831118834681,4,0,0,medium,101.59155254438213
17.95862097130958,4,1,0,high,471.48484844892573
11.247502596397364,10,0,0,low,381.98043964583985
16.341362948117187,5,1,1,low,347.44070061022967
18.025734698546373,6,0,1,low,415.29566913167434
7.042066024465414,23,0,1,high,277.4418672107607
3.090986566025858,13,0,1,high,162.4262585733039
5.330768088296892,23,1,0,low,145.61643084877736
9.11504798389887,10,0,1,medium,595.7907931117384
16.54228055252737,12,0,0,low,250.07428390746466
17.353881081870526,1,0,1,low,419.66723315382046
1.1320904800926233,6,0,1,high,124.04946161750476
10.704198748973749,19,0,1,low,601.6650661755423
8.930809059826801,3,1,1,low,213.23162434598635
5.220048398943875,7,0,0,medium,256.0175126203656
3.277441979339973,19,0,0,medium,203.49943145758
7.414688256668931,21,0,0,low,284.2585988215315
18.915284374337865,20,0,0,medium,686.7915465280925
7.14085570839435,18,1,0,medium,441.54706451288223
10.857021813123955,12,0,1,low,286.70715723341567
14.35736021900838,13,0,1,low,362.0641385296523
7.908962445206585,9,0,0,medium,353.5317182739084
19.463859571698254,10,1,1,low,836.0397620626283
19.286498603900114,1,1,1,high,511.3596559828755
5.7838636206819185,8,0,1,high,494.82635757457564
10.447721611955323,16,0,1,high,373.8419711823622
6.716687886518623,2,0,0,low,116.0761643324823
6.411969393171884,23,1,1,high,228.4959723251926
1.700851999736123,5,0,1,low,90.2847418204748
12.58172234561804,4,0,0,low,187.93741008812972
10.550901441348369,4,0,0,low,163.96299190727157
1.9780962737497978,21,0,1,low,225.94934940832928
