distance,hour,weather,traffic,price
4.692680899768591,14,rain,high,157.52
30.101214309175212,11,snow,low,537.19
13.167456935454494,15,clear,medium,228.16
9.129425537759532,23,snow,medium,237.42
1.6962487046234629,18,snow,low,194.16
1.695962919146052,7,clear,low,134.04
1.0,20,snow,medium,173.87
20.112308644799395,16,clear,medium,321.14
9.190821536272646,22,snow,low,212.97
12.312500617045902,4,clear,medium,208.76
1.0,21,snow,low,155.48
35.03557475158312,15,snow,medium,701.91
17.86429543354675,5,snow,low,356.05
2.3868762524894698,7,rain,high,240.22
2.0067898874966335,17,clear,low,155.62
2.0261142283225704,11,clear,low,59.39
3.627537294604771,14,clear,low,86.13
7.439278308608545,8,clear,low,287.29
5.655370667803367,12,rain,medium,165.93
3.442229925539415,14,clear,low,72.36
9.463708738997987,9,snow,high,539.11
1.5023452872733867,15,rain,low,80.14
3.4551551200240227,6,snow,low,116.38
4.56277218220847,16,clear,low,93.42
6.08934687859775,22,snow,low,174.86
15.379360110309118,20,snow,low,628.99
2.227358621286903,21,clear,low,144.52
7.220291550331277,6,rain,low,151.93
8.975047213097605,13,rain,low,190.88
1.0,14,clear,medium,61.37
9.353330206496102,20,rain,medium,467.64
1.8696125197741642,6,clear,low,50.74
1.0,8,clear,low,107.62
29.73687793506931,18,clear,high,1169.94
33.706303424611725,15,clear,medium,513.8
16.523315728128768,7,clear,medium,620.82
3.632878599687583,17,clear,low,180.39
1.0277731500250624,22,snow,medium,88.33
11.527507630986618,17,rain,medium,546.52
5.800908425853983,19,snow,medium,373.49
1.3015223395444864,6,clear,high,63.6
6.835472281341501,2,clear,low,111.79
1.0,17,rain,low,145.33
24.004228873930238,9,clear,medium,842.44
2.994577768406861,6,clear,high,92.15
10.862557985649804,16,rain,low,204.01
3.7354658165762364,13,clear,low,81.08
7.341108959092287,23,rain,low,154.07
7.912237979817975,2,rain,low,162.77
2.0438859950790573,11,clear,medium,76.59
34.92807132736226,12,clear,medium,527.57
14.922453771381408,1,rain,low,276.36
28.05094419291582,2,clear,low,363.42
22.521519975341967,4,clear,low,310.34
9.11054412383275,10,snow,low,441.39
25.49435379269405,7,clear,medium,892.12
1.0,22,rain,high,100.2
2.1813469463126745,22,snow,high,138.65
1.0,11,clear,low,58.92
3.9353208680308684,6,clear,high,114.72
4.921302917942186,14,clear,medium,118.44
3.165604432088257,23,clear,medium,95.28
17.64557865240934,16,clear,low,256.83
4.4122699952987015,3,rain,low,112.2
3.298028401342492,21,clear,low,165.39
7.82407083207746,12,rain,low,157.84
1.5189814782062885,17,snow,low,176.65
16.204835957747314,0,snow,low,325.15
1.0,15,rain,low,63.16
40.0,12,clear,medium,605.39
14.794837762415114,9,rain,low,564.3
2.2153944050588597,11,rain,low,85.56
1.0,1,clear,high,60.91
16.89896777486126,22,clear,high,300.55
12.270959073870447,2,snow,medium,299.72
13.05662908787999,9,clear,high,588.99
14.752145260435135,1,clear,medium,249.08
1.0,22,clear,high,52.79
4.438926724162325,12,clear,low,99.51
1.2315010460444966,12,snow,low,73.81
19.885295716582227,17,rain,low,714.42
9.763011917123741,2,rain,low,196.28
4.01818801251301,6,clear,low,89.2
1.0,13,clear,medium,51.73
3.7248835041035373,19,clear,medium,216.94
3.9331421318413136,16,clear,medium,106.0
13.078757839577408,20,clear,low,449.94
10.148893589260199,11,rain,high,274.88
21.822519124015148,15,clear,medium,362.43
6.390661333763098,23,rain,low,156.1
1.273723936155019,11,clear,medium,61.84
12.491263443165995,14,clear,low,196.77
14.303927530768641,9,clear,low,479.94
8.238874948858289,6,snow,high,259.02
14.738899667213644,19,snow,low,608.56
6.808147315102779,4,snow,low,166.51
7.39678838777267,0,clear,high,159.17
5.578141939084274,16,clear,medium,122.2
1.0,2,rain,low,73.19
1.1416743519186583,12,clear,low,48.26
1.0,13,snow,low,86.59
10.117295509275495,23,clear,medium,202.26
3.7739670879509983,17,clear,low,177.94
7.104371771341901,3,clear,low,129.91
23.812655298459756,17,clear,high,952.3
2.8673882298329834,4,rain,medium,117.33
5.282819748826726,15,clear,low,99.95
14.087491475385834,0,clear,medium,239.24
2.5980515691739403,20,clear,medium,185.21
1.0,13,clear,low,49.59
3.4214030388705705,14,rain,low,94.7
1.7580835850006284,8,snow,high,226.15
26.549500858806248,14,snow,low,470.44
16.508870804845696,16,rain,medium,344.85
10.03494190520531,23,clear,low,145.49
20.51519730520813,3,rain,low,361.25
16.279689407405563,11,clear,low,238.79
2.0649547635863907,4,clear,low,68.25
22.308134052355612,4,snow,low,398.29
7.75099901966172,10,clear,low,296.65
16.47348291303566,5,snow,high,431.19
22.642426492862313,6,clear,high,401.07
3.8273071641831846,23,rain,medium,121.0
1.1659216012385083,13,rain,high,91.61
2.5868674613938136,23,snow,low,107.41
5.570576927486144,10,rain,high,363.38
17.03829726638945,12,rain,low,312.82
19.713449718798334,1,clear,high,359.01
1.0,6,rain,high,89.16
7.148761593385558,19,clear,medium,315.06
5.402733209186713,3,rain,high,179.89
2.5116733827582447,7,rain,medium,225.02
1.276803915456468,19,rain,low,148.33
4.119085798624324,21,clear,low,183.32
28.631211226911496,20,clear,medium,995.79
3.903838028814744,18,rain,low,233.56
7.314528057601519,12,clear,medium,149.63
12.14086976880855,13,clear,high,257.05
4.519744989669624,9,clear,low,211.82
35.677981382917,10,snow,medium,1474.29
32.82009864541398,1,rain,high,680.09
2.9006129499220528,8,clear,high,216.31
6.876592784638472,16,clear,high,160.56
3.5793046007904676,2,clear,medium,95.82
3.352496763810817,23,rain,high,151.43
1.0,5,rain,medium,86.79
9.404920709825932,4,clear,low,151.78
6.985196328296385,4,clear,low,118.17
1.0,21,clear,medium,136.68
3.2662592101036934,14,rain,low,97.38
23.888609510893403,22,rain,medium,463.27
2.7386055214207703,16,clear,medium,87.69
1.5653086098546976,8,clear,low,130.53
6.722721094736363,2,clear,medium,133.73
40.0,19,snow,medium,1621.96
2.7714481355972618,16,clear,low,82.41
11.151550102972934,9,rain,low,460.06
14.338876262394628,2,rain,low,267.5
2.713331723358058,17,clear,low,150.77
13.027489284923162,17,clear,high,585.3
4.58522799264304,16,clear,low,91.3
10.005037477317714,23,rain,medium,229.61
10.038378271376383,2,rain,low,193.6
7.673852499523488,2,rain,low,153.81
1.0,5,rain,high,102.86
18.03644794246297,12,clear,medium,305.2
3.8681029366739663,23,snow,low,126.62
2.0643210660755655,14,rain,low,81.89
1.0,8,clear,low,113.98
8.937784045945834,3,snow,low,204.23
11.318517342673488,13,rain,medium,244.08
1.0,4,rain,low,69.66
7.176305845494884,1,rain,low,162.16
2.5682414705495766,10,snow,low,220.96
10.36124341547692,8,rain,high,560.02
1.9160422253913376,23,clear,high,69.28
11.742125275677191,2,clear,low,183.73
4.8895870098110175,8,snow,medium,329.18
27.60343817804307,2,clear,low,382.2
1.4794441343927893,1,clear,low,69.19
4.171324339951718,11,clear,medium,115.28
1.2044428503699642,9,clear,high,154.78
25.861903971507235,8,rain,high,1189.65
20.983337071609938,14,snow,medium,456.99
2.9832737006148893,7,clear,low,183.56
10.787627390439145,4,clear,medium,190.85
16.994840726392212,10,clear,low,546.47
8.10132360686508,1,snow,medium,225.27
7.54279410193946,23,rain,low,167.43
2.7687704543790312,14,clear,medium,94.25
1.0,5,snow,low,81.34
22.75123225194523,7,snow,low,876.06
23.06774427648427,4,snow,high,561.55
10.026699194828847,15,snow,low,222.31
4.140465098113239,17,clear,medium,237.3
4.295676158116439,5,rain,low,115.67
12.944654297271182,4,clear,low,214.14
22.740973491072523,15,snow,low,401.04
