distance,hour,price,is_peak,is_night,hour_sin,hour_cos,traffic_encoded,weather_encoded,distance_squared,distance_log,distance_bucket,distance_traffic,distance_peak,traffic_peak,weather_peak,demand_score
4.692680899768591,14,157.52,0,0,-0.4999999999999997,-0.8660254037844388,3,2,22.021254027052958,1.7391812970663032,0,14.078042699305774,0.0,0,0,6.6
30.101214309175212,11,537.19,0,0,0.258819045102521,-0.9659258262890682,1,3,906.0831028868945,3.4372468637340403,3,30.101214309175212,0.0,0,0,5.7
13.167456935454494,15,228.16,0,0,-0.7071067811865471,-0.7071067811865479,2,1,173.38192214704864,2.6509475693855507,2,26.334913870908988,0.0,0,0,3.9
9.129425537759532,23,237.42,0,1,-0.25881904510252157,0.9659258262890681,2,3,83.34641064949592,2.315444607645619,1,18.258851075519065,0.0,0,0,6.9
1.6962487046234629,18,194.16,1,0,-1.0,-1.8369701987210297e-16,1,3,2.8772596679367757,0.9918614382847531,0,1.6962487046234629,1.6962487046234629,1,3,7.7
1.695962919146052,7,134.04,1,0,0.9659258262890683,-0.25881904510252063,1,1,2.876290223118398,0.991755438929528,0,1.695962919146052,1.695962919146052,1,1,4.7
1.0,20,173.87,1,0,-0.8660254037844386,0.5000000000000001,2,3,1.0,0.6931471805599453,0,2.0,1.0,2,3,8.9
20.112308644799395,16,321.14,0,0,-0.8660254037844385,-0.5000000000000004,2,1,404.5049590236725,3.04985621849542,2,40.22461728959879,0.0,0,0,3.9
9.190821536272646,22,212.97,0,1,-0.5000000000000004,0.8660254037844384,1,3,84.47120051161308,2.3214874657976905,1,9.190821536272646,0.0,0,0,5.7
12.312500617045902,4,208.76,0,1,0.8660254037844386,0.5000000000000001,2,1,151.59767144475572,2.588703489820509,2,24.625001234091805,0.0,0,0,3.9
1.0,21,155.48,1,0,-0.7071067811865477,0.7071067811865474,1,3,1.0,0.6931471805599453,0,1.0,1.0,1,3,7.7
35.03557475158312,15,701.91,0,0,-0.7071067811865471,-0.7071067811865479,2,3,1227.4914981737686,3.5845066380641963,4,70.07114950316624,0.0,0,0,6.9
17.86429543354675,5,356.05,0,1,0.9659258262890683,0.25881904510252074,1,3,319.1330513370393,2.937271004907894,2,17.86429543354675,0.0,0,0,5.7
2.3868762524894698,7,240.22,1,0,0.9659258262890683,-0.25881904510252063,3,2,5.697178244698175,1.2199080371449922,0,7.160628757468409,2.3868762524894698,3,2,8.6
2.0067898874966335,17,155.62,1,0,-0.9659258262890683,-0.25881904510252063,1,1,4.0272056525587505,1.1008730271043443,0,2.0067898874966335,2.0067898874966335,1,1,4.7
2.0261142283225704,11,59.39,0,0,0.258819045102521,-0.9659258262890682,1,1,4.105138866211165,1.1072793636036478,0,2.0261142283225704,0.0,0,0,2.7
3.627537294604771,14,86.13,0,0,-0.4999999999999997,-0.8660254037844388,1,1,13.159026823748501,1.532024824774967,0,3.627537294604771,0.0,0,0,2.7
7.439278308608545,8,287.29,1,0,0.8660254037844387,-0.4999999999999998,1,1,55.34286175293361,2.132896796493106,1,7.439278308608545,7.439278308608545,1,1,4.7
